,country,qt_vins,points,price
0,Argentina,3714,86.73451803984922,24.579159935379643
1,Armenia,2,87.5,14.5
2,Australia,2225,88.59550561797752,35.09752808988764
3,Austria,2766,90.21077368040491,30.7765726681128
4,Bosnia and Herzegovina,2,86.5,12.5
5,Brazil,38,84.39473684210526,23.63157894736842
6,Bulgaria,141,87.93617021276596,14.645390070921986
7,Canada,253,89.3794466403162,35.723320158102766
8,Chile,4390,86.50592255125285,20.774487471526196
9,China,1,89.0,18.0
10,Croatia,70,87.3,25.1
11,Cyprus,10,87.0,16.2
12,Czech Republic,11,87.45454545454545,24.818181818181817
13,England,55,91.7090909090909,52.4
14,France,16376,88.73882510991695,40.538837322911576
15,Georgia,81,87.70370370370371,19.246913580246915
16,Germany,2104,89.84363117870723,42.413498098859314
17,Greece,440,87.35,22.686363636363637
18,Hungary,142,89.26760563380282,41.25352112676056
19,India,9,90.22222222222223,13.333333333333334
20,Israel,488,88.49795081967213,31.795081967213115
21,Italy,16092,88.71526224210788,40.6217375093214
22,Lebanon,35,87.68571428571428,30.685714285714287
23,Luxembourg,3,88.66666666666667,22.666666666666668
24,Macedonia,12,86.83333333333333,15.583333333333334
25,Mexico,70,85.25714285714285,26.785714285714285
26,Moldova,57,87.28070175438596,16.92982456140351
27,Morocco,28,88.57142857142857,19.5
28,New Zealand,1368,88.31359649122807,26.966374269005847
29,Peru,16,83.5625,18.0625
30,Portugal,4643,88.33038983415895,25.6069351712255
31,Romania,120,86.4,15.241666666666667
32,Serbia,12,87.5,24.5
33,Slovakia,1,87.0,16.0
34,Slovenia,78,88.03846153846153,24.525641025641026
35,South Africa,1278,87.85758998435055,24.753521126760564
36,Spain,6077,87.33421095935495,28.770610498601283
37,Switzerland,7,88.57142857142857,85.28571428571429
38,Turkey,90,88.08888888888889,24.633333333333333
39,US,53351,88.60263162827313,36.831005979269364
40,Ukraine,5,83.8,8.8
41,Uruguay,108,86.71296296296296,26.444444444444443
