,country,description,designation,points,price,province,region_1,region_2,taster_name,taster_twitter_handle,title,variety,winery,title_short,year,bad_good
307,France,"Rich and full in the mouth, packed with red fruits and black cherries. The wine is sweet, while keeping a tannic core. Drink next year.",Les Dames Huguettes,87,30.0,Burgundy,Côte de Nuits-Villages,,Roger Voss,@vossroger,Domaine Bertagna 2013 Les Dames Huguettes  (Côte de Nuits-Villages),Pinot Noir,Domaine Bertagna, 2013 Les Dames Huguettes  (Côte de Nuits-Villages),2013,Mid
357,France,"Produced from vines more than 100 years old in the heart of the Clos de Vougeot vineyard, this is an impressive wine with a long future. The wood aging is already surrounded by ripe, intense black fruits. A fresher character comes from the bright acidity of the vintage, giving the wine a lift. The aftertaste is long and concentrated. Drink from 2024.",Vieilles Vignes,95,350.0,Burgundy,Clos de Vougeot,,Roger Voss,@vossroger,Château de la Tour 2017 Vieilles Vignes  (Clos de Vougeot),Pinot Noir,Château de la Tour, 2017 Vieilles Vignes  (Clos de Vougeot),2017,Good
471,France,"Rich and opulent, this is a full-throated Pinot Noir. It has ripe berry flavors and a balancing acidity that supports a dense texture and underlay of firm tannins. While delicious now, this is a wine that will improve with aging so drink from 2020.",Les Chatelots Premier Cru,92,73.0,Burgundy,Chambolle-Musigny,,Roger Voss,@vossroger,Henri de Villamont 2014 Les Chatelots Premier Cru  (Chambolle-Musigny),Pinot Noir,Henri de Villamont, 2014 Les Chatelots Premier Cru  (Chambolle-Musigny),2014,Good
472,France,"This wine is ripe, rich and full in the mouth, like a fruit salad of red cherries, plums and berries. Yet there's a more solid side—rounded tannins support the concentrated fruits, and touches of wood aging broaden the feel of this impressive wine. Drink from 2021.",Les Feusselottes Premier Cru,92,72.0,Burgundy,Chambolle-Musigny,,Roger Voss,@vossroger,Henri de Villamont 2014 Les Feusselottes Premier Cru  (Chambolle-Musigny),Pinot Noir,Henri de Villamont, 2014 Les Feusselottes Premier Cru  (Chambolle-Musigny),2014,Good
518,France,"From a walled vineyard once owned by the local bishop, this wine is structured and firm while also having great red cherry and berry fruit. It's one of a number of Premier Crus from this producer—and certainly the most expressive with its generous fruit and balanced tannins. Drink from 2022.",Le Clos l'Evêque Premier Cru,91,60.0,Burgundy,Mercurey,,Roger Voss,@vossroger,Domaine Jeannin-Naltet 2018 Le Clos l'Evêque Premier Cru  (Mercurey),Pinot Noir,Domaine Jeannin-Naltet, 2018 Le Clos l'Evêque Premier Cru  (Mercurey),2018,Good
732,France,"This is a soft and jammy wine with attractive ripe strawberry fruit and only the lightest structure. It is gentle, rounded and ready to drink.",Mont-Avril,85,22.0,Burgundy,Côte Chalonnaise,,Roger Voss,@vossroger,Domaine Michel Goubard 2018 Mont-Avril  (Côte Chalonnaise),Pinot Noir,Domaine Michel Goubard, 2018 Mont-Avril  (Côte Chalonnaise),2018,Bad
733,France,"This wine is extracted and tough. The acidity does come through to help out, although it still has a hard edge with some bitter toast. It will soften, leaving some perfumed fruit for the future.",,85,40.0,Burgundy,Chorey-lès-Beaune,,Roger Voss,@vossroger,Domaine Poulleau Père et Fils 2018  Chorey-lès-Beaune,Pinot Noir,Domaine Poulleau Père et Fils, 2018  Chorey-lès-Beaune,2018,Bad
847,France,"The Pinot-ness of this wine is undeniable: its structure is of velvet, and its aromas convey freshly turned earth, autumnal oak leaf and subdued red-cherry fruit. There is a depth that evokes deep forests. Have this with furred or feathered game.",Galets Oligocène,90,33.0,Alsace,Alsace,,Anne Krebiehl MW,@AnneInVino,Domaine Bott-Geyl 2016 Galets Oligocène Pinot Noir (Alsace),Pinot Noir,Domaine Bott-Geyl, 2016 Galets Oligocène Pinot Noir (Alsace),2016,Mid
849,France,"This is a blend from most parts of the village, with fruit from 14 different parcels. It is solid and firm while also having great swathes of raspberries and red plums laced together with acidity. The aftertaste is perfumed with a fresh lift. Drink from 2022",,90,70.0,Burgundy,Gevrey-Chambertin,,Roger Voss,@vossroger,Domaine Faiveley 2018  Gevrey-Chambertin,Pinot Noir,Domaine Faiveley, 2018  Gevrey-Chambertin,2018,Mid
1076,France,"From old vines planted in a single vineyard, this is a spectacular red. It has the crisp acidity of the cool-climate Sancerre, but it also has the weight and ripeness of a fine Burgundy. The wood aging has left a spicy toasty edge to the beautiful cherry fruits and acidity. It could age for another year to be at its best. Drink from 2023.",En Grands Champs,94,112.0,Loire Valley,Sancerre,,Roger Voss,@vossroger,Alphonse Mellot 2018 En Grands Champs  (Sancerre),Pinot Noir,Alphonse Mellot, 2018 En Grands Champs  (Sancerre),2018,Good
1093,France,"Old-vine Pinot Noir has produced a rich structured wood-aged wine. With its opulent texture and ripe full-bodied cherries and red plums, the wine is poised and generous. Drink this impressive wine from 2022.",Anthocyane,94,60.0,Loire Valley,Sancerre,,Roger Voss,@vossroger,Domaine Bernard Fleuriet et Fils 2019 Anthocyane  (Sancerre),Pinot Noir,Domaine Bernard Fleuriet et Fils, 2019 Anthocyane  (Sancerre),2019,Good
1450,France,"From one of the highest premier cru vineyards comes a wine that has a cool edge, generous fruit and firm tannins. Those elements come together with black cherry flavors and a dry core, promising a serious future. Drink from 2023.",Aux Thorey Premier Cru,94,85.0,Burgundy,Nuits-St.-Georges,,Roger Voss,@vossroger,David Duband 2018 Aux Thorey Premier Cru  (Nuits-St.-Georges),Pinot Noir,David Duband, 2018 Aux Thorey Premier Cru  (Nuits-St-Georges),2018,Good
1451,France,"This wine manages to combine firm structure with the finely perfumed fruit associated with Chambolle-Musigny. It's rich, fruity, lifted by acidity and held together by solid tannins. Impressive and full bodied, it's a wine to age. Drink from 2024.",Les Sentiers Premier Cru,94,135.0,Burgundy,Chambolle-Musigny,,Roger Voss,@vossroger,David Duband 2018 Les Sentiers Premier Cru  (Chambolle-Musigny),Pinot Noir,David Duband, 2018 Les Sentiers Premier Cru  (Chambolle-Musigny),2018,Good
1453,France,"This dense and structured wine comes from a small walled vineyard within the larger Les Vignes Franches premier cru, partially owned by Louis Jadot. Robust tannins frame its rich, juicy black fruit, showing potential for long aging. Drink from 2024.",Clos des Ursules Premier Cru,94,90.0,Burgundy,Beaune,,Roger Voss,@vossroger,Louis Jadot 2018 Clos des Ursules Premier Cru  (Beaune),Pinot Noir,Louis Jadot, 2018 Clos des Ursules Premier Cru  (Beaune),2018,Good
1463,France,"This wine comes from a vineyard owned by the Gagey situated in the northern part of Nuits-Saint-Georges, close to Vosne-Romanée. It has firm structure and a perfumed character that is already enticing. Richly fruity with juicy acidity, it will be impressive as it ages. Drink from 2023.",Les Boudots Premier Cru,93,132.0,Burgundy,Nuits-St.-Georges,,Roger Voss,@vossroger,Louis Jadot 2018 Les Boudots Premier Cru  (Nuits-St.-Georges),Pinot Noir,Louis Jadot, 2018 Les Boudots Premier Cru  (Nuits-St-Georges),2018,Good
1624,France,"This light, cool-climate Pinot Noir is crisp with red currant fruit and herbal-tinged acidity. It has a zesty character that keeps it lively and tight. Drink now.",La Petite Perrière,85,12.0,France Other,Vin de France,,Roger Voss,@vossroger,Saget la Perrière 2020 La Petite Perrière Pinot Noir (Vin de France),Pinot Noir,Saget la Perrière, 2020 La Petite Perrière Pinot Noir (Vin de France),2020,Bad
1638,France,This is a crisp cherry-flavored wine. Cool-climate Pinot Noir has a light texture that gives the wine a hint of tannins although it is much more about fruit and bright acidity. Drink now.,,85,20.0,Loire Valley,Reuilly,,Roger Voss,@vossroger,Domaine de Reuilly 2019 Pinot Noir (Reuilly),Pinot Noir,Domaine de Reuilly, 2019 Pinot Noir (Reuilly),2019,Bad
1758,France,"This is just recognizably Pinot Noir, full of tannins with a tight edge. Bitter cherry flavors and very fresh acidity give a mineral flavor that is only just showing juiciness. Drink from 2020.",,84,19.0,France Other,Vin de Savoie,,Roger Voss,@vossroger,Les Rocailles 2018 Pinot Noir (Vin de Savoie),Pinot Noir,Les Rocailles, 2018 Pinot Noir (Vin de Savoie),2018,Bad
2227,France,"At this stage, the wine is all dark structure and very firm. It will need time to develop its full potential as an intensely rich wine. Concentrated and firm, it is powered by tannins as well as sweet red fruits. So age for five years at least.",Petite Chapelle Premier Cru,94,85.0,Burgundy,Gevrey-Chambertin,,Roger Voss,@vossroger,Louis Jadot 2013 Petite Chapelle Premier Cru  (Gevrey-Chambertin),Pinot Noir,Louis Jadot, 2013 Petite Chapelle Premier Cru  (Gevrey-Chambertin),2013,Good
2279,France,"Light in color, this is a fruity, softly tannic and lightweight wine. It brings out red fruits that are now maturing, giving spice and a touch of pepper with final acidity. Drink now.",Signature,85,17.0,Alsace,Alsace,,Roger Voss,@vossroger,Domaine Robert Klingenfus 2014 Signature Pinot Noir (Alsace),Pinot Noir,Domaine Robert Klingenfus, 2014 Signature Pinot Noir (Alsace),2014,Bad
2360,France,"A smooth and rounded wine, its ripe plum and blueberry flavors well integrated into the soft tannins and sweet acidity. Drinkable now, but worth waiting for two more years.",Château de Chamirey,88,35.0,Burgundy,Mercurey,,Roger Voss,@vossroger,Domaines Devillard 2015 Château de Chamirey  (Mercurey),Pinot Noir,Domaines Devillard, 2015 Château de Chamirey  (Mercurey),2015,Mid
2361,France,"Very dark, structured wine, with coffee as well as fruit flavors. The wood comes through firmly producing a solid, very dry character. The more juicy black currant fruits are still to show well. So wait to drink until 2019.",Domaine de la Ferté Premier Cru Servoisine,88,40.0,Burgundy,Givry,,Roger Voss,@vossroger,Domaines Devillard 2015 Domaine de la Ferté Premier Cru Servoisine  (Givry),Pinot Noir,Domaines Devillard, 2015 Domaine de la Ferté Premier Cru Servoisine  (Givry),2015,Mid
2492,France,"This wine is fresh, perfumed with a juicy red-fruit character. It offers red cherries, with a soft texture and acidity. The great fruitiness leads to a bright, crisp aftertaste.",,88,30.0,Burgundy,Chorey-lès-Beaune,,Roger Voss,@vossroger,Joseph Drouhin 2016  Chorey-lès-Beaune,Pinot Noir,Joseph Drouhin, 2016  Chorey-lès-Beaune,2016,Mid
2682,France,"Givry is one of the unsung values in Burgundy. This ripe and structured wine shows why. It has weight, a firm texture and red plum and strawberry fruit flavors. All these elements are held together by a dark sense of tannin and fine acidity.",,90,35.0,Burgundy,Givry,,Roger Voss,@vossroger,Antonin Rodet 2014  Givry,Pinot Noir,Antonin Rodet, 2014  Givry,2014,Mid
2755,France,"A light, easy and cheery selection, with direct aromas and flavors of sweet cherry, red raspberry and strawberry. The mouthfeel is soft and approachable, with virtually no tannins and a clean, short finish. Drink up.",,84,11.0,Languedoc-Roussillon,Pays d'Oc,,Lauren Buzzeo,@laurbuzz,Le Petit Cochonnet 2019 Pinot Noir (Pays d'Oc),Pinot Noir,Le Petit Cochonnet, 2019 Pinot Noir (Pays d'Oc),2019,Bad
2789,France,"Soft and fruity with some sweetness, this red-fruit-flavored wine is rounded and warm, crispened by acidity.",Bistro,84,8.0,France Other,Ile de Beauté,,Roger Voss,@vossroger,Barton & Guestier 2015 Bistro Pinot Noir (Ile de Beauté),Pinot Noir,Barton & Guestier, 2015 Bistro Pinot Noir (Ile de Beauté),2015,Bad
2802,France,"This is a soft, gentle Pinot with a plum jelly flavor derived from a touch of sweetness in its fruit. Drink now.",Bourricot,84,12.0,France Other,Vin de France,,Roger Voss,@vossroger,L. Tramier & Fils 2014 Bourricot Pinot Noir (Vin de France),Pinot Noir,L. Tramier & Fils, 2014 Bourricot Pinot Noir (Vin de France),2014,Bad
2895,France,"In this case, Vieilles Vignes (old vines) only means vines over 20 years. The wine is soft, rounded and full of red cherry fruitiness. Judicious wood aging has rounded the wine out while leaving all its fruit intact. It can be drunk now, but will be better from 2020.",Vieilles Vignes,86,30.0,Burgundy,Bourgogne Hautes Côtes de Nuits,,Roger Voss,@vossroger,Manuel Olivier 2016 Vieilles Vignes  (Bourgogne Hautes Côtes de Nuits),Pinot Noir,Manuel Olivier, 2016 Vieilles Vignes  (Bourgogne Hautes Côtes de Nuits),2016,Bad
2897,France,"This light-colored wine has a spicy character that points up the tannins as well as the red berry fruits. It has a light feeling, with refreshing acidity that shows strongly at the end. It's ready to drink.",Buissonnier,86,26.0,Burgundy,Mercurey,,Roger Voss,@vossroger,Vignerons de Buxy 2016 Buissonnier  (Mercurey),Pinot Noir,Vignerons de Buxy, 2016 Buissonnier  (Mercurey),2016,Bad
3063,France,"Structured, concentrated, a wine that shows power from both fruit and tannins. The opulent strawberry flavors are paralleled by firm, dry tannins. As the combination comes together, this will become a glorious wine.",,95,164.0,Burgundy,Charmes-Chambertin,,Roger Voss,@vossroger,Joseph Drouhin 2012  Charmes-Chambertin,Pinot Noir,Joseph Drouhin, 2012  Charmes-Chambertin,2012,Good
3068,France,"Big, full-bodied wine, the great tannins dominating the underlying red fruit. It's firmly concentrated, intense, a powerhouse of dense texture and obviously a wine that will need aging. Give it 5–6 years.",,94,190.0,Burgundy,Charmes-Chambertin,,Roger Voss,@vossroger,Chanson Père et Fils 2012  Charmes-Chambertin,Pinot Noir,Chanson Père et Fils, 2012  Charmes-Chambertin,2012,Good
3069,France,"Very dense wine, its tannins solid and concentrated. The structure is the leader here, with the young fruit showing through as black plum skins and crushed strawberries. This is a firmly tannic wine, needing aging.",,94,205.0,Burgundy,Clos de Vougeot,,Roger Voss,@vossroger,Chanson Père et Fils 2012  Clos de Vougeot,Pinot Noir,Chanson Père et Fils, 2012  Clos de Vougeot,2012,Good
3072,France,"The aromas of smoky new wood follow through to the wood flavors on the palate. However, it's the powerful sweet black cherry and red berry fruit flavors, layered with fruit tannins and acidity, that are driving this impressive wine. For aging at least six years.",Clos des Mouches Premier Cru,94,89.0,Burgundy,Beaune,,Roger Voss,@vossroger,Joseph Drouhin 2012 Clos des Mouches Premier Cru  (Beaune),Pinot Noir,Joseph Drouhin, 2012 Clos des Mouches Premier Cru  (Beaune),2012,Good
