,variety,description,points,price
0,Abouriou,3,87.66666666666667,35.0
1,Agiorgitiko,63,87.03174603174604,23.571428571428573
2,Aglianico,292,89.38356164383562,38.85958904109589
3,Aidani,1,82.0,27.0
4,Airen,3,81.66666666666667,9.0
5,Albana,19,89.26315789473684,23.473684210526315
6,Albanello,1,86.0,20.0
7,Albariño,474,87.72573839662448,21.29746835443038
8,Albarossa,2,88.0,40.0
9,Aleatico,4,85.75,39.75
10,Alfrocheiro,15,88.86666666666666,26.666666666666668
11,Alicante,5,87.4,23.0
12,Alicante Bouschet,46,89.56521739130434,31.91304347826087
13,Aligoté,29,86.51724137931035,19.655172413793103
14,Alsace white blend,47,90.51063829787235,30.085106382978722
15,Altesse,8,88.75,17.875
16,Alvarelhão,2,86.5,21.0
17,Alvarinho,116,88.52586206896552,19.344827586206897
18,Alvarinho-Chardonnay,4,86.75,11.25
19,Ansonica,2,86.5,26.0
20,Antão Vaz,17,87.70588235294117,19.764705882352942
21,Aragonez,6,88.0,23.5
22,Aragonês,7,89.14285714285714,29.571428571428573
23,Argaman,3,88.33333333333333,40.666666666666664
24,Arinto,63,87.2063492063492,15.825396825396826
25,Arneis,80,87.3125,20.7625
26,Asprinio,1,84.0,15.0
27,Assyrtico,43,88.04651162790698,23.53488372093023
28,Assyrtiko,17,89.17647058823529,23.235294117647058
29,Athiri,1,83.0,18.0
30,Austrian Red Blend,54,89.79629629629629,35.166666666666664
31,Austrian white blend,59,90.35593220338983,32.69491525423729
32,Auxerrois,21,89.0952380952381,22.80952380952381
33,Avesso,6,88.0,16.333333333333332
34,Azal,3,86.0,13.666666666666666
35,Babić,4,88.5,35.0
36,Babosa Negro,1,92.0,45.0
37,Baco Noir,16,86.125,25.75
38,Baga,26,90.46153846153847,37.19230769230769
39,Baga-Touriga Nacional,2,91.0,40.0
40,Barbera,615,87.75284552845528,26.11382113821138
41,Barbera-Nebbiolo,1,87.0,30.0
42,Bastardo,1,86.0,32.0
43,Biancale,1,85.0,18.0
44,Biancolella,1,85.0,26.0
45,Bical,12,86.5,15.25
46,Black Muscat,10,88.3,19.3
47,Blanc du Bois,6,85.0,27.0
48,Blatina,1,88.0,12.0
49,Blauburger,1,87.0,17.0
50,Blauburgunder,1,93.0,19.0
51,Blauer Portugieser,2,86.5,15.5
52,Blaufränkisch,204,90.07843137254902,31.975490196078432
53,Bobal,21,85.9047619047619,19.19047619047619
54,Bobal-Cabernet Sauvignon,1,84.0,9.0
55,Bombino Bianco,1,88.0,30.0
56,Bombino Nero,1,87.0,11.0
57,Bonarda,105,86.5047619047619,16.62857142857143
58,Bordeaux-style Red Blend,5326,88.79928651896357,47.24690199023657
59,Bordeaux-style White Blend,695,87.90791366906475,34.72086330935252
60,Bovale,4,89.75,30.0
61,Boğazkere,4,89.75,25.75
62,Brachetto,9,84.44444444444444,19.77777777777778
63,Braucol,5,90.6,27.0
64,Bual,6,94.33333333333333,100.0
65,Cabernet,9,86.77777777777777,16.77777777777778
66,Cabernet Blend,80,88.5,50.75
67,Cabernet Franc,1297,88.15111796453354,34.90979182729375
68,Cabernet Franc-Cabernet Sauvignon,15,89.26666666666667,28.733333333333334
69,Cabernet Franc-Carmenère,2,86.0,12.0
70,Cabernet Franc-Lemberger,2,87.0,20.0
71,Cabernet Franc-Malbec,4,91.0,58.5
72,Cabernet Franc-Merlot,18,89.5,45.94444444444444
73,Cabernet Merlot,17,86.76470588235294,23.352941176470587
